<-,Tree #,Branch #,Sampling Round,Keyfield,Time,Military Time,Fresh Mass (g),Dry Mass (g),(R)WC,GS,TCPchamber#,PSI_MPa,spectra?,Notes
8/21/2025,2,A,1,S2_Ba_R1,12:22,12:22,0.0777,0.0297,1.62,,1,-1.07,y,
8/21/2025,1,A,1,S1_Ba_R1,12:59,12:59,0.092,0.0377,1.44,NA,2,-0.708,y,
8/21/2025,1,A,2,S1_Ba_R2,2:27,14:27,0.0865,0.0387,1.24,NA,3,-0.574,y,
8/21/2025,2,A,2,S2_Ba_R2,2:29,14:29,0.0875,0.0372,1.35,NA,4,-1.078,y,
8/21/2025,1,A,3,S1_Ba_R3,4:40,16:40,0.1024,0.0439,1.33,NA,NA,NA,y,
8/21/2025,2,A,3,S2_Ba_R3,5:00,17:00,0.102,0.0458,1.23,NA,NA,NA,y,
8/22/2025,3,B,4,,8:44,8:44,0.0882,,#DIV/0!,,1,,,
8/22/2025,5,B,4,,8:49,8:49,0.0873,,#DIV/0!,,2,,,
8/22/2025,2,A,4,,9:06,9:06,0.1114,,#DIV/0!,,3,,,
8/22/2025,1,B,4,,9:16,9:16,0.1348,,#DIV/0!,,4,,,
8/22/2025,1,A,4,,9:20,9:20,0.1233,,#DIV/0!,,5,,,
8/22/2025,2,B,4,,9:28,9:28,0.1039,,#DIV/0!,,6,,,
8/22/2025,3,A,4,,9:35,9:35,0.1254,,#DIV/0!,,7,,,
8/22/2025,4,B,4,,9:43,9:43,0.121,,#DIV/0!,,9,,,
8/22/2025,5,A,4,,9:50,9:50,0.1331,,#DIV/0!,,10,,,
8/22/2025,4,A,4,,10:10,10:10,0.1371,,#DIV/0!,,11,,,
8/22/2025,3,B,5,,10:18,10:18,0.1254,,#DIV/0!,,12,,,
8/22/2025,5,B,5,,10:23,10:23,0.14,,#DIV/0!,,13,,,
8/22/2025,2,A,5,S2_Ba_R5,10:27,10:27,0.1263,0.0518,1.44,,14,,y,
8/22/2025,1,A,5,S1_Ba_R5,10:35,10:35,0.1346,0.0645,1.09,,15,,y,
8/22/2025,1,B,5,,10:43,10:43,0.1412,,,,16,,,
8/22/2025,2,B,5,,10:48,10:48,0.13,,,,19,,,
8/22/2025,3,A,5,,11:00,11:00,0.0946,,,,21,,,
8/22/2025,4,B,5,,11:08,11:08,0.1356,,,,24,,,Needles falling off when collecting for RWC and WP. Maybe that side shoot is not a good match to the photosynthesis one. Ditch?
8/22/2025,5,A,5,,11:12,11:12,0.092,,,,25,,,
8/22/2025,4,A,5,,11:18,11:18,0.1086,,,,26,,,
8/22/2025,2,B,6,,11:22,11:22,0.1314,,,,28,,,
8/22/2025,4,B,6,,11:29,11:29,0.1469,,,,29,,,
8/22/2025,2,B,7,,11:33,11:33,0.1139,,,,30,,,
8/22/2025,1,B,6,,11:40,11:40,0.1372,,,,31,,,
8/22/2025,1,A,6,,11:47,11:47,0.1265,,,,32,,,
