"TreeNum","RoundNum","KeyField","PRI","WC","pred","pred_overall"
1,1,"1_1",-0.00286379947682424,1.34,-0.00335118444662445,-0.00143982869341669
1,2,"1_2",-0.00630551102118442,1.18,-0.0103715305339211,-0.00846017478071334
1,3,"1_3",-0.00831788325243747,0.97,-0.0195857347734979,-0.0176743790202902
1,4,"1_4",-0.0513331922039361,0.43,-0.0432794028181241,-0.0413680470649163
1,5,"1_5",-0.0646550422326774,0.16,-0.0551262368404371,-0.0532148810872294
2,1,"2_1",-0.0118871138011333,1.26,-0.00838240865680227,-0.00495000173706501
2,2,"2_2",-0.0261464903654439,1.17,-0.0123313533309066,-0.00889894641116937
2,3,"2_3",-0.0105377719751434,1,-0.0197904710486593,-0.016358064128922
2,4,"2_4",-0.0368249163460655,0.5,-0.0417290525714613,-0.038296645651724
3,1,"3_1",0.00452724018216803,1.31,-0.00359010741122727,-0.00275614358478481
3,2,"3_2",-0.000413647404207596,1.38,-0.000518705998034997,0.00031525782840746
3,3,"3_3",-0.000225810850096759,1.22,-0.00753905208533163,-0.00670508825888917
3,4,"3_4",-0.00552848090810239,1.12,-0.011926768389892,-0.0110928045634496
3,5,"3_5",-0.0209687409357571,1.11,-0.0123655400203481,-0.0115315761939056
3,6,"3_6",-0.0230881927333899,1.04,-0.0154369414335403,-0.0146029776070979
3,7,"3_7",-0.0389970260434915,0.65,-0.0325490350213259,-0.0317150711948834
4,1,"4_1",-0.00685162434603716,1.27,-0.00276535370891356,-0.00451123010660897
4,2,"4_2",-0.00677079165087954,1.14,-0.00846938490484208,-0.0102152613025375
4,3,"4_3",-0.00447408807473833,1.15,-0.00803061327438604,-0.00977648967208145
4,4,"4_4",-0.0063950827417934,1.04,-0.0128571012094025,-0.0146029776070979
4,5,"4_5",-0.0122237104911552,1.01,-0.0141734161007706,-0.015919292498466
4,6,"4_6",-0.023738722323381,0.88,-0.0198774472966991,-0.0216233236943945
4,7,"4_7",-0.0419775335806981,0.47,-0.0378670841453967,-0.0396129605430922
5,1,"5_1",-0.00523040717063261,1.57,-0.00237055646292531,0.00865191880707222
5,2,"5_2",-0.0197157630410765,1.44,-0.00807458765885383,0.0029478876111437
5,3,"5_3",-0.0143828623304166,1.41,-0.00939090255022194,0.00163157271977558
5,4,"5_4",-0.0116995928598257,1.27,-0.0155337053766065,-0.00451123010660897
5,5,"5_5",-0.0227563846400202,1.22,-0.0177275635288867,-0.00670508825888917
5,6,"5_6",-0.0182042459802894,1.03,-0.0260642245075515,-0.0150417492375539
5,7,"5_7",-0.0361182378017453,0.74,-0.0387886017907766,-0.0277661265207791
6,1,"6_1",0.00595746490198573,1.32,0.00496268444044216,-0.00231737195432877
6,2,"6_2",-0.00149544690532635,1.19,-0.000741346755486359,-0.00802140315025729
6,3,"6_3",-0.00299332236108152,1.15,-0.00249643327731052,-0.00977648967208145
6,4,"6_4",-0.00495570637586672,1.03,-0.007761692842783,-0.0150417492375539
6,5,"6_5",-0.0180822692567551,0.7,-0.0222411566478323,-0.0295212130426032
7,1,"7_1",-0.00117545096729557,1.25,0.00278549560939731,-0.00538877336752105
7,2,"7_2",-0.00101789648014404,1.14,-0.00204099232561912,-0.0102152613025375
7,3,"7_3",-0.00584782680029059,1.08,-0.00467362210835536,-0.0128478910852737
7,4,"7_4",-0.00753678629955287,1.04,-0.00642870863017951,-0.0146029776070979
7,5,"7_5",-0.0112267473377764,0.64,-0.0239795738484211,-0.0321538428253395
