"Variable","Spearman_r","Pearson_r","Rank_Spearman","Rank_Pearson","Rank_Combined"
"REPLE_5nm_Median",0.595625427204375,0.491923893812319,3,1,4
"PRInorm_5nm_Median",-0.621257689678742,-0.461527370162203,1,7,8
"PRI_5nm_Median",0.584962406015038,0.482234771603558,9,2,11
"Vogelmann3_15nm_Median",0.580587833219412,0.468405384113572,10,4,14
"Maccioni_15nm_Median",0.590293916609706,0.456709343732566,4,11,15
"REPLi_15nm_Median",0.588516746411483,0.456962779046552,5,10,15
"D2_15nm_Median",-0.588516746411483,-0.452316922476978,5,15,20
"Maccioni_5nm_Median",0.579972658920027,0.460136257353206,12,8,20
"REPLE_15nm_Median",0.586397812713602,0.454323995986313,7,14,21
"mND705_5nm_Median",0.557894736842105,0.466152458511994,21,5,26
"MTCI_5nm_Median",0.580177717019822,0.441727068355108,11,19,30
"D2_5nm_Median",-0.579699248120301,-0.446423307118795,13,17,30
"mND705_15nm_Median",0.556459330143541,0.465724574479031,24,6,30
"mSR705_5nm_Median",0.557894736842105,0.454395616901776,21,13,34
"Datt3_15nm_Median",0.57717019822283,0.440425095340039,15,21,36
"REPLi_5nm_Median",0.559808612440191,0.44897092121284,20,16,36
"mSR705_15nm_Median",0.556459330143541,0.45566632441284,24,12,36
"MTCI_15nm_Median",0.585372522214628,0.430248908222836,8,30,38
"D1_15nm_Median",0.574094326725906,0.434074192771281,17,25,42
"PRInorm_15nm_Median",-0.606356801093643,-0.414140908459634,2,45,47
"Datt_5nm_Median",0.57758031442242,0.422603936494842,14,36,50
"Vogelmann_5nm_Median",0.542857142857143,0.435929674432773,26,24,50
"Carter4_15nm_Median",-0.538755980861244,-0.430389838898542,29,29,58
"age",0.574566397273448,0.413443706069582,16,46,62
"SR6_15nm_Median",0.53485987696514,0.426192088147942,31,31,62
"Vogelmann_15nm_Median",0.53485987696514,0.426192088147942,31,31,62
"ARI2_5nm_Median",-0.514627477785373,-0.444312085124151,44,18,62
"Vogelmann2_15nm_Median",-0.538892686261107,-0.421256819072372,28,37,65
"Datt_15nm_Median",0.571907040328093,0.410246796548504,18,48,66
"Datt2_5nm_Median",0.556937799043062,0.41590465498639,23,43,66
"Carter4_5nm_Median",-0.516336295283664,-0.432561867570545,41,27,68
"NDVI2_5nm_Median",0.515652768284347,0.433270525621769,42,26,68
"TCARIOSAVI_5nm_Median",-0.539986329460014,-0.416538667580721,27,42,69
"Vogelmann4_15nm_Median",-0.537252221462748,-0.417652205585843,30,40,70
"Datt2_15nm_Median",0.560970608339029,0.402753110054042,19,54,73
"mNDVI_15nm_Median",0.504784688995215,0.440517646025897,53,20,73
"PSRI_15nm_Median",-0.508885850991114,-0.431407483436101,46,28,74
"SIPI_15nm_Median",-0.504784688995215,-0.438302432965525,53,23,76
"ARI1_5nm_Median",-0.51244019138756,-0.423320316853372,45,35,80
"TCARIOSAVI_15nm_Median",-0.530622009569378,-0.409311628164971,34,51,85
"zpcum8",0.471573335224957,0.476133629899508,82,3,85
"SR6_5nm_Median",0.517976760082023,0.41129965763261,39,47,86
"mSR2_5nm_Median",0.515652768284347,0.414380316435725,42,44,86
"TCARI2OSAVI2_5nm_Median",-0.519138755980861,-0.409760659869462,37,50,87
"Vogelmann4_5nm_Median",-0.531168831168831,-0.401040827271494,33,57,90
"MCARIOSAVI_5nm_Median",-0.507655502392344,-0.417556706893824,50,41,91
"CARI_5nm_Median",-0.507792207792208,-0.410106592160598,49,49,98
"Carter2_15nm_Median",-0.500615174299385,-0.418233146232315,63,39,102
"NDVI2_15nm_Median",0.498496240601504,0.420140641512891,66,38,104
