"Var1","Var2","Pearson_r","Collinear"
"Maccioni_5nm_Median","REPLE_5nm_Median",0.952495359969624,TRUE
"PRInorm_5nm_Median","REPLE_5nm_Median",-0.921246856194064,TRUE
"PRI_5nm_Median","PRInorm_5nm_Median",-0.912286141713782,TRUE
"Maccioni_5nm_Median","PRInorm_5nm_Median",-0.877093257355427,TRUE
"PRI_5nm_Median","REPLE_5nm_Median",0.844459135191706,TRUE
"zpcum8","zpcum9",0.824912500449176,TRUE
"Maccioni_5nm_Median","PRI_5nm_Median",0.792238549107733,TRUE
"Area_m2","zpcum8",0.227152808711411,FALSE
"Area_m2","zpcum9",0.190104615575382,FALSE
"PRInorm_5nm_Median","zpcum9",-0.179548624275553,FALSE
"PRInorm_5nm_Median","zpcum8",-0.174957984851659,FALSE
"PRI_5nm_Median","zpcum8",0.173426173433806,FALSE
"PRI_5nm_Median","zpcum9",0.163772809739679,FALSE
"REPLE_5nm_Median","zpcum8",0.152171946903163,FALSE
"Maccioni_5nm_Median","zpcum9",0.150283074362857,FALSE
"REPLE_5nm_Median","zpcum9",0.138521319893401,FALSE
"Maccioni_5nm_Median","zpcum8",0.128926408643699,FALSE
"Area_m2","Maccioni_5nm_Median",-0.0817704159136573,FALSE
"Area_m2","PRInorm_5nm_Median",0.0506244230216971,FALSE
"Area_m2","PRI_5nm_Median",0.0338231994214981,FALSE
"Area_m2","REPLE_5nm_Median",-0.0314412521961316,FALSE
