"","Variable","Spearman_r","Pearson_r"
"1","PRInorm_5nm_Median",-0.621257689678742,-0.461527370162203
"2","PRInorm_10nm_Median",-0.61285030758715,-0.421947362745573
"3","PRInorm_15nm_Median",-0.606356801093643,-0.414140908459634
"4","PRInorm_1nm_Median",-0.605058099794942,-0.442031911030376
"5","REPLE_5nm_Median",0.595625427204375,0.491923893812319
"6","Maccioni_15nm_Median",0.590293916609706,0.456709343732566
"7","D2_15nm_Median",-0.588516746411483,-0.452316922476978
"8","REPLi_15nm_Median",0.588516746411483,0.456962779046552
"9","REPLE_15nm_Median",0.586397812713602,0.454323995986313
"10","MTCI_15nm_Median",0.585372522214628,0.430248908222836
"11","PRI_5nm_Median",0.584962406015038,0.482234771603558
"12","Maccioni_10nm_Median",0.584278879015721,0.460906439613682
"13","REPLi_10nm_Median",0.584278879015721,0.455969848015746
"14","Vogelmann3_15nm_Median",0.580587833219412,0.468405384113572
"15","REPLE_10nm_Median",0.580246069719754,0.466723862586228
"16","MTCI_5nm_Median",0.580177717019822,0.441727068355108
"17","Maccioni_5nm_Median",0.579972658920027,0.460136257353206
"18","D2_5nm_Median",-0.579699248120301,-0.446423307118795
"19","MTCI_10nm_Median",0.579015721120984,0.430890591024024
"20","Datt_5nm_Median",0.57758031442242,0.422603936494842
"21","Datt3_15nm_Median",0.57717019822283,0.440425095340039
"22","age",0.574566397273448,0.413443706069582
"23","D1_15nm_Median",0.574094326725906,0.434074192771281
"24","Datt_10nm_Median",0.573615857826384,0.420984200229813
"25","D1_10nm_Median",0.572795625427204,0.437543593580364
"26","PRI_1nm_Median",0.571907040328093,0.465843035880999
"27","Datt_15nm_Median",0.571907040328093,0.410246796548504
"28","Maccioni_1nm_Median",0.571018455228982,0.457851930275385
"29","mND705_10nm_Median",0.569446343130554,0.458660890184068
"30","mSR705_10nm_Median",0.569446343130554,0.447462547029489
"31","Vogelmann4_1nm_Median",-0.566165413533835,-0.434781459391796
"32","Vogelmann2_1nm_Median",-0.562064251537936,-0.432511987008208
"33","Datt2_15nm_Median",0.560970608339029,0.402753110054042
"34","REPLi_5nm_Median",0.559808612440191,0.44897092121284
"35","Vogelmann_1nm_Median",0.559535201640465,0.447193630082145
"36","mND705_5nm_Median",0.557894736842105,0.466152458511994
"37","mSR705_5nm_Median",0.557894736842105,0.454395616901776
"38","Datt2_1nm_Median",0.557826384142174,0.427163247621757
"39","MTCI_1nm_Median",0.55768967874231,0.424889684230474
"40","Datt2_5nm_Median",0.556937799043062,0.41590465498639
"41","D2_10nm_Median",-0.556732740943267,-0.450810739347797
"42","Vogelmann3_10nm_Median",0.556732740943267,0.446216591704013
"43","mND705_15nm_Median",0.556459330143541,0.465724574479031
"44","mSR705_15nm_Median",0.556459330143541,0.45566632441284
"45","Datt2_10nm_Median",0.550034176349966,0.410240312899043
"46","Datt_1nm_Median",0.547778537252221,0.41947288608374
"47","Vogelmann_10nm_Median",0.543062200956938,0.432091947166642
"48","Vogelmann_5nm_Median",0.542857142857143,0.435929674432773
