"Variable","Importance"
"Vogelmann3_5nm_Median",3156.69958327107
"MPRI_5nm_Median",1774.27638041213
"CRI1_5nm_Median",1489.02152274228
"Datt4_5nm_Median",1244.39505006007
"MCARI_5nm_Median",1233.47888955909
"SR4_5nm_Median",1158.09655265744
"MCARIOSAVI_5nm_Median",1123.5476181298
"CRI4_5nm_Median",983.163071623008
"Datt3_5nm_Median",955.75798704729
"OSAVI_5nm_Median",901.689593299482
"DBH",898.269198339082
"CRI2_5nm_Median",897.964813819328
"GreenNDVI_5nm_Median",888.370197905422
"zpcum9",783.411394892451
"DDn_5nm_Median",765.249860652115
"pzabove2",740.699196782616
"CRI3_5nm_Median",708.748943699161
"SR5_5nm_Median",606.443612136759
"zq5",564.133945823775
"MCARI2_5nm_Median",535.352647692192
